Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
164,365.84,368.76,371.15,372.79,372.4,375.15,373.1,374.42,373.5,365.96,357.2,0,,,,,,,,,,,0,,,,,,,,,,
165,365.8,368.72,371.12,372.78,372.39,375.16,373.11,374.45,373.49,366.06,357.2,0,,,,,,,,,,,0,,,,,,,,,,
166,365.75,368.69,371.1,372.78,372.38,375.17,373.14,374.47,373.5,366.1,357.18,0,,,,,,,,,,,0,,,,,,,,,,
167,365.73,368.67,371.08,372.78,372.38,375.18,373.14,374.52,373.48,366.09,357.17,0,,,,,,,,,,,0,,,,,,,,,,
168,365.71,368.64,371.08,372.78,372.38,375.18,373.16,374.56,373.49,366.09,357.18,0,,,,,,,,,,,0,,,,,,,,,,
169,365.68,368.62,371.07,372.77,372.37,375.19,373.16,374.58,373.54,366.09,357.18,0,,,,,,,,,,,0,,,,,,,,,,
170,365.66,368.6,371.06,372.76,372.38,375.2,373.18,374.59,373.53,366.07,357.16,0,,,,,,,,,,,0,,,,,,,,,,
171,365.63,368.57,371.05,372.77,372.38,375.21,373.18,374.6,373.5,366.03,357.15,0,,,,,,,,,,,0,,,,,,,,,,
172,365.61,368.56,371.04,372.77,372.39,375.21,373.2,374.61,373.49,366.03,357.13,0,,,,,,,,,,,0,,,,,,,,,,
173,365.59,368.53,371.03,372.77,372.39,375.22,373.21,374.64,373.51,365.99,357.15,0,,,,,,,,,,,0,,,,,,,,,,
174,365.56,368.5,371.02,372.76,372.39,375.23,373.23,374.65,373.52,365.89,357.22,0,,,,,,,,,,,0,,,,,,,,,,
